store,item,predicted_demand_7d,recommended_restock_qty
6,19,184,120
6,20,218,144
6,21,176,118
6,22,350,235
6,23,133,86
6,24,284,185
6,25,399,280
6,26,212,142
6,27,99,67
6,28,418,291
6,29,294,194
6,30,184,122
6,31,245,160
6,32,192,128
6,33,330,224
6,34,114,76
6,35,290,192
6,36,350,237
6,37,141,94
6,38,362,246
6,39,198,131
6,40,133,86
6,41,93,61
6,42,157,102
6,43,232,156
6,44,134,90
6,45,348,231
6,46,265,176
6,47,108,73
6,48,237,160
6,49,126,83
6,50,297,199
7,1,90,60
7,2,235,156
7,3,145,92
7,4,90,62
7,5,82,57
7,6,233,153
7,7,257,176
7,8,327,223
7,9,198,130
7,10,297,202
7,11,289,192
7,12,296,198
7,13,361,240
7,14,245,161
7,15,357,237
7,16,109,74
7,17,135,90
7,18,374,256
7,19,159,104
7,20,197,133
7,21,161,107
7,22,345,236
7,23,113,75
7,24,282,188
7,25,348,232
7,26,199,132
7,27,84,57
7,28,353,238
7,29,308,212
7,30,165,111
7,31,262,183
7,32,180,118
7,33,297,204
7,34,104,70
7,35,280,186
7,36,317,210
7,37,124,84
7,38,324,214
7,39,175,118
7,40,120,80
7,41,89,62
7,42,153,99
7,43,208,136
7,44,128,87
7,45,334,225
7,46,243,163
7,47,89,60
7,48,214,143
7,49,113,71
7,50,263,175
8,1,159,105
8,2,485,345
8,3,264,176
8,4,137,89
8,5,135,88
8,6,460,320
8,7,465,323
8,8,591,408
8,9,408,285
8,10,549,377
8,11,537,364
8,12,511,348
8,13,643,443
8,14,436,293
8,15,691,484
8,16,182,122
8,17,237,158
8,18,650,455
8,19,307,209
8,20,370,252
8,21,322,222
8,22,608,415
8,23,217,144
8,24,505,347
8,25,640,456
8,26,352,233
8,27,154,102
8,28,678,470
8,29,531,359
8,30,274,182
8,31,445,299
8,32,303,200
8,33,503,341
8,34,210,145
8,35,488,330
8,36,630,443
8,37,219,145
8,38,645,444
8,39,332,224
8,40,205,134
8,41,167,114
8,42,264,174
8,43,372,251
8,44,210,138
8,45,624,438
8,46,447,303
8,47,161,107
8,48,382,259
8,49,214,145
8,50,479,323
9,1,131,86
9,2,391,270
9,3,226,149
9,4,136,89
9,5,115,76
9,6,362,239
9,7,415,295
9,8,499,339
9,9,334,229
9,10,471,318
9,11,474,323
9,12,432,291
9,13,560,389
9,14,358,241
9,15,554,371
9,16,162,106
9,17,197,130
9,18,512,341
9,19,258,173
9,20,294,194
9,21,243,160
9,22,517,355
9,23,179,117
9,24,424,289
9,25,546,382
9,26,287,189
9,27,133,86
9,28,599,419
9,29,469,322
9,30,251,167
9,31,391,266
9,32,267,176
9,33,448,307
9,34,156,101
9,35,424,285
9,36,493,334
9,37,188,126
9,38,528,365
9,39,265,174
9,40,185,123
9,41,128,85
9,42,210,135
9,43,332,222
9,44,176,115
9,45,526,359
9,46,380,258
9,47,133,86
9,48,326,218
9,49,179,119
9,50,409,274
10,1,131,84
10,2,369,238
10,3,226,147
10,4,140,92
10,5,130,87
10,6,409,273
10,7,389,260
10,8,539,376
10,9,333,223
10,10,510,354
10,11,530,373
10,12,500,348
10,13,616,434
10,14,396,262
10,15,643,450
10,16,161,106
10,17,213,140
10,18,601,417
10,19,260,174
10,20,325,221
10,21,268,179
10,22,587,407
10,23,194,126
10,24,462,312
10,25,564,392
10,26,299,201
10,27,154,100
10,28,644,452
10,29,479,328
10,30,259,171
10,31,402,275
10,32,274,178
10,33,467,319
10,34,158,104
10,35,443,294
10,36,553,391
10,37,194,126
10,38,591,409
10,39,290,191
10,40,193,125
10,41,147,97
10,42,244,162
10,43,353,236
10,44,194,131
10,45,551,375
10,46,411,285
10,47,143,97
10,48,352,238
10,49,183,123
10,50,465,319
